segmento,gerado_total,perdido_total,aplicado_total,validade,taxa_expiracao,taxa_resgate,frequencia_media
Dormentes,243921.53,81822.55,28689.37,30d,33.5,11.8,2.1
Ocasionais,729157.01,331574.46,115594.63,30d,45.5,15.9,4.0
Recorrentes,1869395.74,617573.83,628983.86,30d,33.0,33.6,13.6
Dormentes,243921.53,68456.36,37474.95,45d,28.1,15.4,2.1
Ocasionais,729157.01,265653.82,160622.32,45d,36.4,22.0,4.0
Recorrentes,1869395.74,402432.35,780372.56,45d,21.5,41.7,13.6
Dormentes,243921.53,58104.5,44708.01,60d,23.8,18.3,2.1
Ocasionais,729157.01,217502.42,194963.24,60d,29.8,26.7,4.0
Recorrentes,1869395.74,274495.55,872355.98,60d,14.7,46.7,13.6
